Fecha,Tipo_Bicicleta,Cantidad_Vendida,Precio_USD,Segmento_Cliente,Region
2024-01-01,Urbana,7,1120,Joven,Sur
2024-01-02,Eléctrica,1,607,Joven,Norte
2024-01-03,Montaña,4,724,Joven,Centro
2024-01-04,Urbana,4,1027,Adulto,Sur
2024-01-05,Urbana,5,1729,Joven,Norte
2024-01-06,Eléctrica,7,1102,Joven,Centro
2024-01-07,Montaña,7,235,Senior,Sur
2024-01-08,Montaña,4,884,Joven,Sur
2024-01-09,Urbana,7,219,Senior,Norte
2024-01-10,Ruta,3,520,Adulto,Norte
2024-01-11,Urbana,6,1999,Joven,Norte
2024-01-12,Urbana,2,711,Senior,Centro
2024-01-13,Urbana,9,599,Senior,Norte
2024-01-14,Urbana,5,853,Adulto,Sur
2024-01-15,Eléctrica,6,1171,Joven,Sur
2024-01-16,Montaña,4,670,Joven,Norte
2024-01-17,Eléctrica,7,1366,Senior,Norte
2024-01-18,Eléctrica,9,1315,Joven,Sur
2024-01-19,Eléctrica,7,1577,Senior,Centro
2024-01-20,Urbana,1,1033,Joven,Norte
2024-01-21,Ruta,1,926,Senior,Norte
2024-01-22,Montaña,9,1053,Joven,Sur
2024-01-23,Ruta,9,250,Adulto,Norte
2024-01-24,Eléctrica,4,1888,Joven,Centro
2024-01-25,Eléctrica,9,1921,Joven,Sur
2024-01-26,Ruta,3,774,Adulto,Norte
2024-01-27,Ruta,7,1413,Joven,Sur
2024-01-28,Ruta,6,1348,Adulto,Norte
2024-01-29,Eléctrica,8,349,Joven,Norte
2024-01-30,Eléctrica,9,513,Senior,Norte
2024-01-31,Montaña,5,769,Senior,Centro
2024-02-01,Montaña,1,1565,Joven,Centro
2024-02-02,Eléctrica,3,504,Joven,Sur
2024-02-03,Ruta,8,1915,Joven,Norte
2024-02-04,Ruta,6,881,Senior,Norte
2024-02-05,Montaña,8,1037,Joven,Centro
2024-02-06,Eléctrica,9,1277,Senior,Norte
2024-02-07,Montaña,4,1202,Adulto,Centro
2024-02-08,Montaña,1,643,Senior,Norte
2024-02-09,Urbana,1,812,Senior,Sur
2024-02-10,Urbana,4,1192,Adulto,Norte
2024-02-11,Urbana,7,463,Senior,Norte
2024-02-12,Ruta,2,1276,Joven,Centro
2024-02-13,Eléctrica,3,1795,Joven,Norte
2024-02-14,Eléctrica,1,1203,Senior,Norte
2024-02-15,Eléctrica,5,1843,Joven,Centro
2024-02-16,Eléctrica,1,204,Senior,Sur
2024-02-17,Urbana,8,1326,Joven,Sur
2024-02-18,Ruta,1,1419,Joven,Centro
2024-02-19,Ruta,1,973,Senior,Centro
2024-02-20,Urbana,2,1076,Joven,Centro
2024-02-21,Ruta,2,1191,Senior,Centro
2024-02-22,Urbana,6,1083,Joven,Centro
2024-02-23,Eléctrica,7,1573,Joven,Sur
2024-02-24,Urbana,5,246,Adulto,Sur
2024-02-25,Eléctrica,1,1066,Adulto,Centro
2024-02-26,Eléctrica,1,1022,Senior,Norte
2024-02-27,Montaña,3,1135,Adulto,Centro
2024-02-28,Urbana,2,855,Senior,Norte
2024-02-29,Montaña,5,468,Adulto,Centro
2024-03-01,Urbana,6,569,Joven,Centro
2024-03-02,Urbana,7,835,Senior,Sur
2024-03-03,Montaña,4,1329,Senior,Norte
2024-03-04,Montaña,7,1893,Joven,Norte
2024-03-05,Urbana,8,1882,Senior,Sur
2024-03-06,Ruta,1,856,Senior,Sur
2024-03-07,Eléctrica,6,319,Adulto,Sur
2024-03-08,Montaña,8,1030,Senior,Sur
2024-03-09,Eléctrica,5,1827,Joven,Norte
2024-03-10,Ruta,4,1281,Adulto,Norte
2024-03-11,Ruta,2,1569,Adulto,Centro
2024-03-12,Ruta,6,940,Joven,Centro
2024-03-13,Montaña,6,1697,Joven,Sur
2024-03-14,Ruta,1,316,Adulto,Sur
2024-03-15,Montaña,9,990,Senior,Sur
2024-03-16,Ruta,6,1350,Adulto,Centro
2024-03-17,Eléctrica,3,1616,Joven,Centro
2024-03-18,Eléctrica,4,1212,Adulto,Centro
2024-03-19,Urbana,4,1864,Joven,Centro
2024-03-20,Eléctrica,3,1281,Adulto,Centro
2024-03-21,Urbana,3,833,Senior,Centro
2024-03-22,Eléctrica,3,712,Adulto,Centro
2024-03-23,Montaña,4,1974,Adulto,Sur
2024-03-24,Eléctrica,7,1001,Joven,Sur
2024-03-25,Urbana,4,1319,Joven,Sur
2024-03-26,Urbana,9,1861,Joven,Sur
2024-03-27,Ruta,1,1341,Adulto,Centro
2024-03-28,Montaña,8,759,Senior,Norte
2024-03-29,Eléctrica,7,1824,Joven,Centro
2024-03-30,Ruta,2,687,Joven,Norte
2024-03-31,Eléctrica,8,1460,Adulto,Sur
2024-04-01,Eléctrica,1,1096,Joven,Centro
2024-04-02,Ruta,9,1495,Senior,Sur
2024-04-03,Ruta,9,1412,Senior,Centro
2024-04-04,Ruta,2,903,Joven,Sur
2024-04-05,Ruta,7,1670,Joven,Norte
2024-04-06,Ruta,3,780,Adulto,Norte
2024-04-07,Eléctrica,7,989,Senior,Norte
